epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,3514.35,0.58801,0.30825,1.0048,0.9949,0.99567,0.995,0.84197,0.27867,0.17525,0.8144,0.000159699,0.000159699,0.000159699
139,3536.2,0.57977,0.29994,1.01034,0.9929,0.99751,0.99496,0.86556,0.27931,0.16951,0.8138,0.000148696,0.000148696,0.000148696
140,3558.13,0.5734,0.30295,0.99999,0.9925,0.95455,0.99125,0.84439,0.26028,0.16598,0.81089,0.000137694,0.000137694,0.000137694
141,3580.67,0.46071,0.21423,0.91576,0.9925,0.95455,0.99125,0.8572,0.25573,0.16413,0.81355,0.000126692,0.000126692,0.000126692
142,3602.46,0.4598,0.21192,0.90879,0.94966,1,0.99125,0.85398,0.28183,0.16786,0.81299,0.00011569,0.00011569,0.00011569
143,3624.23,0.46166,0.20977,0.90603,0.95026,1,0.99125,0.84826,0.25352,0.16027,0.81051,0.000104688,0.000104688,0.000104688
144,3646.02,0.44653,0.20564,0.90617,0.95082,1,0.99125,0.84524,0.26122,0.16465,0.81106,9.36854e-05,9.36854e-05,9.36854e-05
145,3667.82,0.44276,0.20305,0.90332,0.9923,0.95455,0.99125,0.83841,0.2647,0.16557,0.81087,8.26832e-05,8.26832e-05,8.26832e-05
146,3689.62,0.43995,0.2019,0.90031,0.99264,0.95455,0.99125,0.85315,0.25741,0.16129,0.8096,7.1681e-05,7.1681e-05,7.1681e-05
147,3711.38,0.44384,0.20339,0.89677,0.99137,0.95455,0.99125,0.83991,0.2544,0.15926,0.80909,6.06788e-05,6.06788e-05,6.06788e-05
148,3733.21,0.43747,0.20057,0.89639,0.99129,0.95455,0.99125,0.8433,0.2519,0.15662,0.80789,4.96766e-05,4.96766e-05,4.96766e-05
149,3755,0.43917,0.20142,0.90505,0.94854,1,0.99125,0.85155,0.26456,0.16154,0.8095,3.86744e-05,3.86744e-05,3.86744e-05
150,3776.79,0.43758,0.19802,0.88939,0.99259,0.95455,0.99125,0.8458,0.26172,0.15834,0.80942,2.76722e-05,2.76722e-05,2.76722e-05
